croplands_to_croplands,croplands_to_forests_mangroves,croplands_to_forests_primary,croplands_to_forests_secondary,croplands_to_grasslands,croplands_to_other,croplands_to_settlements,croplands_to_wetlands,forests_mangroves_to_croplands,forests_mangroves_to_forests_mangroves,forests_mangroves_to_forests_primary,forests_mangroves_to_forests_secondary,forests_mangroves_to_grasslands,forests_mangroves_to_other,forests_mangroves_to_settlements,forests_mangroves_to_wetlands,forests_primary_to_croplands,forests_primary_to_forests_mangroves,forests_primary_to_forests_primary,forests_primary_to_forests_secondary,forests_primary_to_grasslands,forests_primary_to_other,forests_primary_to_settlements,forests_primary_to_wetlands,forests_secondary_to_croplands,forests_secondary_to_forests_mangroves,forests_secondary_to_forests_primary,forests_secondary_to_forests_secondary,forests_secondary_to_grasslands,forests_secondary_to_other,forests_secondary_to_settlements,forests_secondary_to_wetlands,grasslands_to_croplands,grasslands_to_forests_mangroves,grasslands_to_forests_primary,grasslands_to_forests_secondary,grasslands_to_grasslands,grasslands_to_other,grasslands_to_settlements,grasslands_to_wetlands,other_to_croplands,other_to_forests_mangroves,other_to_forests_primary,other_to_forests_secondary,other_to_grasslands,other_to_other,other_to_settlements,other_to_wetlands,settlements_to_croplands,settlements_to_forests_mangroves,settlements_to_forests_primary,settlements_to_forests_secondary,settlements_to_grasslands,settlements_to_other,settlements_to_settlements,settlements_to_wetlands,wetlands_to_croplands,wetlands_to_forests_mangroves,wetlands_to_forests_primary,wetlands_to_forests_secondary,wetlands_to_grasslands,wetlands_to_other,wetlands_to_settlements,wetlands_to_wetlands,year,country,optimization_bound,design_quality_rank
0.9975,0.0,0.0,0.0,0.0025000000000003526,0.0,0.0,0.0,0.0024999999999999467,0.9975,0.0,0.0,0.0,0.0,0.0,0.0,0.00075,0.0,0.9934308455018515,0.0,0.003,0.0,0.00012770410670563778,0.0026914503914428262,0.0024999999999999536,0.0,0.0,0.9975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002618447944219607,0.9975,0.0022381552055779903,0.0,0.0,0.0012995080817287349,0.0,0.0,7.056170233394655e-05,0.0006699436233343827,0.9975,-6.776263578034403e-21,0.0004599865926028824,0.0024999999999999467,0.0,0.0,0.0,0.0,0.0,0.9975,0.0,0.0024999999999999506,0.0,0.0,0.0,0.0,0.0,0.0,0.9975,1999,argentina,max_diagonal,1
0.9975,0.0,0.0,0.0,0.0001,0.0024000000000002175,0.0,0.0,0.0024999999999999467,0.9975,0.0,0.0,0.0,0.0,0.0,0.0,0.002242537021689101,0.0,0.9897574629783109,0.0,0.003,0.005,0.0,0.0,0.002399999999999947,0.0,0.0,0.9975,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.9971282318488932,0.0028717681511067675,0.0,0.0,0.0006884108514015324,0.0,0.0,0.00012912816778979177,0.0016445184387476163,0.9975,3.7942542061004796e-05,0.0,0.002399999999999947,0.0,0.0,0.0,0.0,0.0001,0.9975,0.0,0.008954940873001315,0.0,0.0,0.0,0.0,0.0001,0.0,0.9909450591269987,2001,argentina,max_diagonal,1
0.9975,0.0,0.0,0.0004797138105467381,0.0001,0.0019202861894534406,0.0,0.0,0.0024999999999999467,0.9975,0.0,0.0,0.0,0.0,0.0,0.0,0.007348532246342402,0.0,0.9896514677536575,0.0,0.003,0.0,0.0,0.0,0.0024999999999999467,0.0,0.0,0.9975,0.0,0.0,0.0,0.0,0.014479338502956692,0.0,0.0,0.0,0.9832672942873169,0.0022533672097264828,0.0,0.0,0.0024891957852851893,0.0,0.0,0.0,0.0,0.9975,1.0804214714756981e-05,0.0,0.0024999999999999467,0.0,0.0,0.0,0.0,0.0,0.9975,0.0,0.02097773371165982,0.0,0.0,0.0,0.0,0.0,0.0,0.9790222662883402,2002,argentina,max_diagonal,1
0.9975,0.0,0.0,0.0004500181651864216,0.0001,0.0019499818348131337,0.0,0.0,0.0024999999999999467,0.9975,0.0,0.0,0.0,0.0,0.0,0.0,0.0074567442008971465,0.0,0.9895432557991028,0.0,0.003,0.0,0.0,0.0,0.0024999999999999467,0.0,0.0,0.9975,0.0,0.0,0.0,0.0,0.014610984420168137,0.0,0.0,0.0,0.9830074828720601,0.0023722756370873938,9.257070684430426e-06,0.0,0.002499999999999947,0.0,0.0,0.0,0.0,0.9975,0.0,0.0,0.0024999999999999467,0.0,0.0,0.0,0.0,0.0,0.9975,0.0,0.024467306137827376,0.0,0.0,0.0,0.0,0.0,0.0,0.9755326938621727,2003,argentina,max_diagonal,1
0.9975,0.0,0.0,0.0,0.0001,0.0024000000000011503,0.0,0.0,0.0024999999999999467,0.9975,0.0,0.0,0.0,0.0,0.0,0.0,0.007567243159524984,0.0,0.9894327568404749,0.0,0.003,0.0,0.0,0.0,0.0024999999999999467,0.0,0.0,0.9975,0.0,0.0,0.0,0.0,0.016012511375198983,0.0,0.0,0.0,0.9827392195834221,0.0012187401781537893,2.9528863225042085e-05,0.0,0.002370440222555485,0.0,0.0,0.00012955977744445605,0.0,0.9975,0.0,0.0,0.0024999999999999467,0.0,0.0,0.0,0.0,0.0,0.9975,0.0,0.009243480848178005,0.0,0.0,0.0,0.0,0.0,0.0,0.990756519151822,2004,argentina,max_diagonal,1
0.9975,0.0,0.0,0.0004003480725232458,0.0001,0.0019996519274761058,0.0,0.0,0.0024999999999999467,0.9975,0.0,0.0,0.0,0.0,0.0,0.0,0.007680102398538966,0.0,0.989319897601461,0.0,0.003,0.0,0.0,0.0,0.0024999999999999467,0.0,0.0,0.9975,0.0,0.0,0.0,0.0,0.014194433974398239,0.0,0.0,5.421010862427522e-20,0.9824620525957828,0.0033435134298189805,0.0,0.0,0.0024450765168485765,0.0,0.0,0.0,0.0,0.9975,5.492348315137004e-05,1.0842021724855044e-19,0.0024999999999999467,0.0,0.0,0.0,0.0,0.0,0.9975,0.0,0.0063197202816601405,0.0,0.0,0.0,0.0,0.0,0.0,0.9936802797183398,2005,argentina,max_diagonal,1
0.9974496245580241,0.0,0.0,0.0,0.0001,0.0024503754419757475,0.0,0.0,0.0024999999999999467,0.9975,0.0,0.0,0.0,0.0,0.0,0.0,0.0027953983584401328,0.0,0.9892046016415599,0.0,0.003,0.005,0.0,0.0,0.002399999999999947,0.0,0.0,0.9975,0.0,0.0001,0.0,0.0,0.012824213522538253,0.0,0.0,-5.421010862427522e-20,0.9821757864774617,0.005,0.0,0.0,0.001835863175089349,0.0,0.0,0.00013001899322324342,0.0,0.9975,7.213084522772443e-05,0.00046198698645962834,0.002399999999999947,0.0,0.0,0.0,0.0,0.0001,0.9975,0.0,0.002399999999999947,0.0,0.0,0.0,0.0,0.0001,0.0,0.9975,2006,argentina,max_diagonal,1
0.9644964183135931,0.0,0.0,5.421010862427522e-20,0.0,0.035503581686406785,0.0,0.0,0.0024999999999999467,0.9975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9890867891834252,0.0,0.0,0.01091321081657476,0.0,0.0,0.0,0.0,0.0,0.9975,0.0,0.0024999999999999467,0.0,0.0,0.0,0.0,0.0,0.0,0.9819613753079697,0.018038624692030332,0.0,0.0,0.0,0.0,0.0,0.0001297440684227285,0.0008011982967856203,0.9975,0.0002441252065763477,0.0013249324282152497,0.0,0.0,0.0,0.0,0.0,0.0024999999999999467,0.9975,0.0,0.0,0.0,0.0,0.0,0.0,0.00249999999999995,0.0,0.9975,2007,argentina,max_diagonal,7
0.9687304667774856,0.0,0.0,0.0,0.0,0.03126953322251423,0.0,0.0,0.0024999999999999467,0.9975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9889663769287783,0.0,0.0,0.011033623071221639,0.0,2.168404344971009e-19,0.0,0.0,0.0,0.9975,0.0,0.0024999999999999467,0.0,0.0,0.0,0.0,0.0,0.0,0.9818974933870201,0.018102506612979886,0.0,0.0,0.0,0.0,0.0,0.0001263890730912567,0.0005751053199350354,0.9975,0.0002330971637400361,0.00156540844323362,0.0,0.0,0.0,0.0,0.0,0.0024999999999999467,0.9975,0.0,0.0,0.0,0.0,0.0,0.0,0.0024999999999999467,0.0,0.9975,2008,argentina,max_diagonal,7
0.9975,0.0,0.0,0.0003955895488113746,0.0001,0.002004410451189006,0.0,0.0,0.0024999999999999467,0.9975,0.0,0.0,0.0,0.0,0.0,0.0,0.008156722138002628,0.0,0.9888432778619973,0.0,0.003,0.0,0.0,0.0,0.0024999999999999467,0.0,0.0,0.9975,0.0,0.0,0.0,0.0,0.01873655632687458,0.0,0.0,0.0,0.9812634436731255,0.0,0.0,0.0,0.01471391343804125,0.0,0.0,0.0,0.0,0.9852860865619587,0.0,0.0,0.007258902412607299,0.0,0.0,0.0,0.0,0.0,0.9927410975873927,0.0,0.00355896946757284,0.0,0.0,0.0,0.0,0.0,0.0,0.9964410305324272,2009,argentina,max_diagonal,1
