iso_alpha_3,year,frac_agrc_no_till_cereals,frac_agrc_no_till_fibers,frac_agrc_no_till_other_annual,frac_agrc_no_till_pulses,frac_agrc_no_till_tubers,frac_agrc_no_till_vegetables_and_vines
ABW,2010,0.632,0.632,0.632,0.632,0.632,0.632
ABW,2011,0.632,0.632,0.632,0.632,0.632,0.632
ABW,2012,0.632,0.632,0.632,0.632,0.632,0.632
ABW,2013,0.632,0.632,0.632,0.632,0.632,0.632
ABW,2014,0.632,0.632,0.632,0.632,0.632,0.632
ABW,2015,0.632,0.632,0.632,0.632,0.632,0.632
ABW,2016,0.632,0.632,0.632,0.632,0.632,0.632
ABW,2017,0.632,0.632,0.632,0.632,0.632,0.632
ABW,2018,0.632,0.632,0.632,0.632,0.632,0.632
ABW,2019,0.632,0.632,0.632,0.632,0.632,0.632
ABW,2020,0.632,0.632,0.632,0.632,0.632,0.632
ABW,2021,0.632,0.632,0.632,0.632,0.632,0.632
ABW,2022,0.632,0.632,0.632,0.632,0.632,0.632
ABW,2023,0.632,0.632,0.632,0.632,0.632,0.632
ABW,2024,0.632,0.632,0.632,0.632,0.632,0.632
ABW,2025,0.632,0.632,0.632,0.632,0.632,0.632
ABW,2026,0.632,0.632,0.632,0.632,0.632,0.632
ABW,2027,0.632,0.632,0.632,0.632,0.632,0.632
ABW,2028,0.632,0.632,0.632,0.632,0.632,0.632
ABW,2029,0.632,0.632,0.632,0.632,0.632,0.632
ABW,2030,0.632,0.632,0.632,0.632,0.632,0.632
ABW,2031,0.632,0.632,0.632,0.632,0.632,0.632
ABW,2032,0.632,0.632,0.632,0.632,0.632,0.632
ABW,2033,0.632,0.632,0.632,0.632,0.632,0.632
ABW,2034,0.632,0.632,0.632,0.632,0.632,0.632
ABW,2035,0.632,0.632,0.632,0.632,0.632,0.632
ABW,2036,0.632,0.632,0.632,0.632,0.632,0.632
ABW,2037,0.632,0.632,0.632,0.632,0.632,0.632
ABW,2038,0.632,0.632,0.632,0.632,0.632,0.632
ABW,2039,0.632,0.632,0.632,0.632,0.632,0.632
ABW,2040,0.632,0.632,0.632,0.632,0.632,0.632
ABW,2041,0.632,0.632,0.632,0.632,0.632,0.632
ABW,2042,0.632,0.632,0.632,0.632,0.632,0.632
ABW,2043,0.632,0.632,0.632,0.632,0.632,0.632
ABW,2044,0.632,0.632,0.632,0.632,0.632,0.632
ABW,2045,0.632,0.632,0.632,0.632,0.632,0.632
ABW,2046,0.632,0.632,0.632,0.632,0.632,0.632
ABW,2047,0.632,0.632,0.632,0.632,0.632,0.632
ABW,2048,0.632,0.632,0.632,0.632,0.632,0.632
ABW,2049,0.632,0.632,0.632,0.632,0.632,0.632
ABW,2050,0.632,0.632,0.632,0.632,0.632,0.632
AFG,2010,0.040999999999999995,0.040999999999999995,0.040999999999999995,0.040999999999999995,0.040999999999999995,0.040999999999999995
AFG,2011,0.040999999999999995,0.040999999999999995,0.040999999999999995,0.040999999999999995,0.040999999999999995,0.040999999999999995
AFG,2012,0.040999999999999995,0.040999999999999995,0.040999999999999995,0.040999999999999995,0.040999999999999995,0.040999999999999995
AFG,2013,0.040999999999999995,0.040999999999999995,0.040999999999999995,0.040999999999999995,0.040999999999999995,0.040999999999999995
AFG,2014,0.040999999999999995,0.040999999999999995,0.040999999999999995,0.040999999999999995,0.040999999999999995,0.040999999999999995
AFG,2015,0.040999999999999995,0.040999999999999995,0.040999999999999995,0.040999999999999995,0.040999999999999995,0.040999999999999995
AFG,2016,0.040999999999999995,0.040999999999999995,0.040999999999999995,0.040999999999999995,0.040999999999999995,0.040999999999999995
AFG,2017,0.040999999999999995,0.040999999999999995,0.040999999999999995,0.040999999999999995,0.040999999999999995,0.040999999999999995
