Variable Type,Variable,Information,Variable Schema,Categories,Reference,Default Value,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,Simplex Group,Emissions Total by Gas Component,``$CAT-WASTEWATER-TREATMENT$``,Notes
Input,Log Elasticity DWW Production to GDP Per Capita,"Log elasticity :math:`\varepsilon` of domestic wastewater production per capita to GDP/capita. For a year over year growth in GDP/capita :math:`\Delta g`, the change in domestic wastewater production per capita is estimated as :math:`\Delta W_{d} = (1 + \Delta g)^{\varepsilon} - 1`.",``logelasticity_wali_qty_prod_to_gdp_per_capita``,none,https://essd.copernicus.org/articles/13/237/2021/,0,0.8,1.2,,0,,"Derived from `Jones, Vliet, Qadir, and Bierkens <https://doi.org/10.5194/essd-13-237-2021>`_ : Country-level and gridded estimates of wastewater production, collection, treatment and reuse, Earth Syst. Sci. Data, 13, 237–254, https://doi.org/10.5194/essd-13-237-2021, 2021. See table 3.1 for the regression coefficient associated with the log production of wastewater, found as 0.31. "
Input,Maximum BOD :math:`\text{CH}_4` Producing Capacity,":math:`B_O` from IPCC Guidelines for NGHG Inventories--or maximum CH4 producing capacity, kg :math:`\text{CH}_4`/kg BOD.",``physparam_wali_bo_tonne_$EMISSION-GAS$_tonne_bod`` (``$EMISSION-GAS$ = ch4``),none,,0,0.8,1.2,,0,,"See V5, C6, Table 6.2 IPCC GNGHGI"
Input,Maximum COD :math:`\text{CH}_4` Producing Capacity,":math:`B_O` from IPCC Guidelines for NGHG Inventories--or maximum CH4 producing capacity, kg :math:`\text{CH}_4`/kg COD.",``physparam_wali_bo_tonne_$EMISSION-GAS$_tonne_cod`` (``$EMISSION-GAS$ = ch4``),none,,0,0.8,1.2,,0,,"See V5, C6, Table 6.2 IPCC GNGHGI"
Input,Nitrogen Density of Industrial Wastewater,Nitrogen density of industrial wastewater,"``density_wali_$UNIT-MASS$_n_per_$UNIT-VOLUME$_$CAT-WASTE-LIQUID$`` (``$UNIT-MASS$ = kg``, ``$UNIT-VOLUME$ = m3``)",``ww_industrial``,,0,0.5,2.0,,0,,"See V5, C6, Table 6.12 IPCC GNGHGI"
Input,Phosphorous Per BOD Factor,Ratio of phosphorous to BOD. Unitless. Used in calculating benefits of water treatment,``physparam_wali_p_per_bod``,none,,0,0.8,1.6,,0,,
Input,Phosphorous Per COD Factor,Ratio of phosphorous to COD. Unitless. Used in calculating benefits of water treatment,``physparam_wali_p_per_cod``,none,,0,0.8,1.6,,0,,
Input,Scalar to Account for Nitrogen in Household Products,":math:`N_{HH}` in Equation 6.10 in V5, C6 IPCC GNGHGI (2019R). Default values by region are available in Table 6.10A.",``param_wali_n_hh_scalar``,none,,0,1.0,1.0,,0,,"See V5, C6, Table 6.10A IPCC GNGHGI"
Input,Treatment Fraction Advanced Aerobic,,``frac_wali_$CAT-WASTE-LIQUID$_treatment_path_advanced_aerobic``,all,,0,1.0,1.0,1.0,0,``treated_advanced_aerobic``,
Input,Treatment Fraction Advanced Anaerobic,,``frac_wali_$CAT-WASTE-LIQUID$_treatment_path_advanced_anaerobic``,all,,0,1.0,1.0,1.0,0,``treated_advanced_anaerobic``,
Input,Treatment Fraction Improved Latrine,,``frac_wali_$CAT-WASTE-LIQUID$_treatment_path_latrine_improved``,all,,0,1.0,1.0,1.0,0,``treated_latrine_improved``,
Input,Treatment Fraction Primary,,``frac_wali_$CAT-WASTE-LIQUID$_treatment_path_primary``,all,,0,1.0,1.0,1.0,0,``treated_primary``,
Input,Treatment Fraction Secondary Aerobic,,``frac_wali_$CAT-WASTE-LIQUID$_treatment_path_secondary_aerobic``,all,,0,1.0,1.0,1.0,0,``treated_secondary_aerobic``,
Input,Treatment Fraction Secondary Anaerobic,,``frac_wali_$CAT-WASTE-LIQUID$_treatment_path_secondary_anaerobic``,all,,0,1.0,1.0,1.0,0,``treated_secondary_anaerobic``,
Input,Treatment Fraction Septic,,``frac_wali_$CAT-WASTE-LIQUID$_treatment_path_septic``,all,,0,1.0,1.0,1.0,0,``treated_septic``,
Input,Treatment Fraction Unimproved Latrine,,``frac_wali_$CAT-WASTE-LIQUID$_treatment_path_latrine_unimproved``,all,,0,1.0,1.0,1.0,0,``treated_latrine_unimproved``,
Input,Treatment Fraction Untreated No Sewerage,,``frac_wali_$CAT-WASTE-LIQUID$_treatment_path_untreated_no_sewerage``,all,,0,1.0,1.0,1.0,0,``untreated_no_sewerage``,
Input,Treatment Fraction Untreated With Sewerage,,``frac_wali_$CAT-WASTE-LIQUID$_treatment_path_untreated_with_sewerage``,all,,0,1.0,1.0,1.0,0,``untreated_with_sewerage``,
